Source;Target;Weight;Type
297;248;1;undirected
290;238;1;undirected
271;16;1;undirected
275;62;1;undirected
275;124;1;undirected
276;20;1;undirected
276;15;1;undirected
276;16;1;undirected
103;20;1;undirected
103;13;1;undirected
103;66;1;undirected
33;26;1;undirected
32;84;1;undirected
31;15;1;undirected
30;81;1;undirected
35;17;1;undirected
99;1;1;undirected
90;243;1;undirected
90;113;1;undirected
95;231;1;undirected
94;122;1;undirected
238;290;1;undirected
239;113;1;undirected
237;224;1;undirected
231;95;1;undirected
1;99;1;undirected
1;232;1;undirected
146;168;1;undirected
26;33;1;undirected
27;21;1;undirected
20;276;1;undirected
20;103;1;undirected
20;13;1;undirected
20;15;1;undirected
20;16;1;undirected
20;74;1;undirected
20;66;1;undirected
21;27;1;undirected
22;75;1;undirected
22;71;2;undirected
81;30;1;undirected
84;32;1;undirected
243;90;1;undirected
243;113;1;undirected
248;297;1;undirected
11;9;1;undirected
13;103;1;undirected
13;20;1;undirected
13;66;1;undirected
12;49;1;undirected
12;43;1;undirected
15;276;1;undirected
15;31;1;undirected
15;20;1;undirected
15;16;1;undirected
17;35;1;undirected
16;271;1;undirected
16;276;1;undirected
16;20;1;undirected
16;15;1;undirected
19;366;1;undirected
62;275;1;undirected
62;124;1;undirected
75;22;1;undirected
74;20;1;undirected
73;60;2;undirected
71;22;2;undirected
71;226;1;undirected
122;94;1;undirected
124;275;1;undirected
124;62;1;undirected
128;115;1;undirected
128;48;2;undirected
366;19;1;undirected
60;73;2;undirected
60;68;1;undirected
60;229;1;undirected
66;103;1;undirected
66;20;1;undirected
66;13;1;undirected
68;60;1;undirected
68;229;1;undirected
168;146;1;undirected
9;11;1;undirected
289;315;1;undirected
288;280;1;undirected
280;288;1;undirected
115;128;1;undirected
113;90;1;undirected
113;239;1;undirected
113;243;1;undirected
118;305;1;undirected
305;118;1;undirected
229;60;1;undirected
229;68;1;undirected
226;71;1;undirected
224;237;1;undirected
48;128;2;undirected
49;12;1;undirected
49;43;1;undirected
43;12;1;undirected
43;49;1;undirected
