Source;Target;Weight;Type
343;289;1;undirected
195;35;1;undirected
195;17;1;undirected
195;18;1;undirected
195;56;1;undirected
270;6;1;undirected
273;266;2;undirected
273;40;2;undirected
274;82;1;undirected
276;106;1;undirected
102;71;1;undirected
102;79;1;undirected
100;284;1;undirected
101;60;1;undirected
106;276;1;undirected
36;67;2;undirected
35;195;1;undirected
35;17;1;undirected
35;18;1;undirected
35;56;1;undirected
6;270;1;undirected
93;58;1;undirected
97;2;1;undirected
239;113;1;undirected
230;10;1;undirected
144;67;1;undirected
140;27;1;undirected
140;21;1;undirected
140;46;1;undirected
27;140;1;undirected
27;21;2;undirected
27;46;2;undirected
21;140;1;undirected
21;27;2;undirected
21;352;1;undirected
21;263;1;undirected
21;46;2;undirected
28;78;1;undirected
28;229;1;undirected
89;43;1;undirected
82;274;1;undirected
2;97;1;undirected
10;230;1;undirected
13;113;1;undirected
17;195;1;undirected
17;35;1;undirected
17;18;1;undirected
17;56;1;undirected
19;366;1;undirected
18;195;1;undirected
18;35;1;undirected
18;17;1;undirected
18;56;2;undirected
18;119;1;undirected
73;60;1;undirected
72;113;1;undirected
71;102;1;undirected
79;102;1;undirected
78;28;1;undirected
78;229;1;undirected
3;254;1;undirected
366;19;1;undirected
60;101;1;undirected
60;73;1;undirected
60;68;1;undirected
60;229;1;undirected
63;68;2;undirected
63;229;1;undirected
67;36;2;undirected
67;144;1;undirected
68;60;1;undirected
68;63;2;undirected
68;229;2;undirected
250;260;1;undirected
254;3;1;undirected
289;343;1;undirected
283;5;1;undirected
284;100;1;undirected
263;21;1;undirected
260;250;1;undirected
266;273;2;undirected
266;40;2;undirected
58;93;1;undirected
56;195;1;undirected
56;35;1;undirected
56;17;1;undirected
56;18;2;undirected
56;119;1;undirected
113;239;1;undirected
113;13;1;undirected
113;72;1;undirected
119;18;1;undirected
119;56;1;undirected
229;28;1;undirected
229;78;1;undirected
229;60;1;undirected
229;63;1;undirected
229;68;2;undirected
46;140;1;undirected
46;27;2;undirected
46;21;2;undirected
43;89;1;undirected
40;273;2;undirected
40;266;2;undirected
5;283;1;undirected
